AuftragID;Anlagedatum;Gestartetam;Wunschtermin;Priorität;Beendetam;BusinessUnitID;VeranlasendeAbteilungID;AuftragsgrundID;Wertigkeit;Dringlichkeit;MarktsegmentID;WiederholauftragJa/Nein;UrsprungfürWiederholung;AusführendeAbteilungID;KundeID;AnzahlSchichten;InBearbeitungab;Eingeplantam;WarteaufRückmeldungab;WarteaufMaterialab;WarteaufVorlageab;VerwendungID;Bearbeitungszeit;Termintreue
50527;06.01.2023;10.01.2023;30.01.2023;2;10.01.2023;3;349;15;4;4;46;0;none;344;none;1;10.01.2023;09.01.2023;none;none;none;2;4;nein
51023;17.01.2023;20.01.2023;08.02.2023;2;20.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;17.01.2023;none;none;none;2;3;nein
51024;17.01.2023;20.01.2023;08.02.2023;2;20.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;17.01.2023;none;none;none;2;3;nein
51258;20.01.2023;20.01.2023;13.02.2023;2;20.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;20.01.2023;none;none;none;2;0;nein
51255;20.01.2023;20.01.2023;13.02.2023;2;20.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;20.01.2023;none;none;none;2;0;nein
51256;20.01.2023;20.01.2023;13.02.2023;2;20.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;20.01.2023;none;none;none;2;0;nein
51257;20.01.2023;20.01.2023;13.02.2023;2;23.01.2023;3;none;49;4;4;46;0;none;344;none;1;20.01.2023;20.01.2023;none;none;none;2;3;nein
51448;25.01.2023;25.01.2023;16.02.2023;2;25.01.2023;3;none;49;4;4;46;1;51023;344;none;1;25.01.2023;25.01.2023;none;none;none;2;0;nein
51449;25.01.2023;25.01.2023;16.02.2023;2;25.01.2023;3;none;49;4;4;46;1;51448;344;none;1;25.01.2023;25.01.2023;none;none;none;2;0;nein
51450;25.01.2023;25.01.2023;16.02.2023;2;25.01.2023;3;none;49;4;4;46;1;51449;344;none;1;25.01.2023;25.01.2023;none;none;none;2;0;nein
51582;26.01.2023;26.01.2023;20.02.2023;2;26.01.2023;3;none;49;4;4;46;1;51449;344;none;01.01.1900;26.01.2023;26.01.2023;26.01.2023;none;none;2;0;nein
51584;26.01.2023;26.01.2023;17.02.2023;2;26.01.2023;3;none;49;4;4;46;1;51583;344;none;1;26.01.2023;26.01.2023;none;none;none;2;0;nein
51583;26.01.2023;26.01.2023;17.02.2023;2;27.01.2023;3;none;49;4;4;46;1;51582;344;none;1;26.01.2023;26.01.2023;none;none;none;2;1;nein
51451;25.01.2023;27.01.2023;17.02.2023;2;31.01.2023;3;352;15;4;4;46;0;none;344;none;01.01.1900;27.01.2023;25.01.2023;25.01.2023;none;none;2;6;nein
52383;14.02.2023;20.02.2023;27.02.2023;2;20.02.2023;3;none;49;4;4;46;0;none;344;none;1;20.02.2023;16.02.2023;none;none;none;2;6;nein
52380;14.02.2023;01.03.2023;27.02.2023;2;01.03.2023;3;none;49;4;4;46;0;none;344;none;1;01.03.2023;16.02.2023;none;none;none;2;15;ja
52849;24.02.2023;01.03.2023;20.03.2023;6;01.03.2023;3;none;49;8;8;46;0;none;344;none;1;01.03.2023;27.02.2023;none;none;none;2;5;nein
54136;21.03.2023;28.03.2023;17.04.2023;2;28.03.2023;3;1784;49;4;4;46;0;none;344;none;1;28.03.2023;27.03.2023;none;none;none;2;7;nein
54135;21.03.2023;29.03.2023;17.04.2023;2;29.03.2023;3;1784;49;4;4;46;0;none;344;none;1;29.03.2023;27.03.2023;none;none;none;2;8;nein
54133;21.03.2023;29.03.2023;17.04.2023;2;29.03.2023;3;1784;49;4;4;46;0;none;344;none;1;29.03.2023;27.03.2023;none;none;none;2;8;nein
54141;21.03.2023;30.03.2023;17.04.2023;2;30.03.2023;3;1784;49;4;4;46;0;none;344;none;1;30.03.2023;30.03.2023;none;none;none;2;9;nein
54132;21.03.2023;30.03.2023;17.04.2023;2;30.03.2023;3;1784;49;4;4;46;0;none;344;none;1;30.03.2023;27.03.2023;none;none;none;2;9;nein
54369;24.03.2023;30.03.2023;20.04.2023;2;30.03.2023;3;1784;49;4;4;46;0;none;344;none;1;30.03.2023;30.03.2023;none;none;none;2;6;nein
54140;21.03.2023;31.03.2023;17.04.2023;2;31.03.2023;3;1784;49;4;4;46;0;none;344;none;1;31.03.2023;30.03.2023;none;none;none;2;10;nein
54368;24.03.2023;31.03.2023;20.04.2023;2;31.03.2023;3;1784;49;4;4;46;0;none;344;none;1;31.03.2023;30.03.2023;none;none;none;2;7;nein
54142;21.03.2023;03.04.2023;17.04.2023;2;03.04.2023;3;1784;49;4;4;46;0;none;344;none;1;03.04.2023;30.03.2023;none;none;none;2;13;nein
68166;23.01.2024;29.01.2024;12.02.2024;6;29.01.2024;3;1781;15;8;8;46;0;none;344;12.02.2114;01.01.1900;29.01.2024;29.01.2024;25.01.2024;none;none;1;6;nein
68593;30.01.2024;30.01.2024;21.02.2024;2;30.01.2024;3;1781;15;4;4;46;1;68166;344;12.02.2114;1;30.01.2024;30.01.2024;none;none;none;1;0;nein
68640;31.01.2024;02.02.2024;22.02.2024;2;03.02.2024;3;344;15;4;4;46;0;none;344;none;1;02.02.2024;31.01.2024;none;none;none;2;3;nein
68945;06.02.2024;13.02.2024;28.02.2024;3;13.02.2024;3;1781;15;8;4;46;0;none;344;none;1;13.02.2024;13.02.2024;none;none;none;1;7;nein
39841;11.04.2022;12.04.2022;15.04.2022;2;14.04.2022;3;1787;15;4;4;44;0;none;344;02.10.2010;1;12.04.2022;11.04.2022;none;none;none;1;3;nein
22527;05.03.2021;09.03.2021;11.03.2021;4;10.03.2021;3;none;15;4;8;44;0;none;344;07.06.1902;1;09.03.2021;05.03.2021;none;none;none;1;5;nein
22247;01.03.2021;03.03.2021;02.04.2021;2;20.03.2021;3;none;15;4;4;44;0;none;345;15.05.1927;1;03.03.2021;02.03.2021;none;none;none;1;19;nein
23324;24.03.2021;29.03.2021;13.04.2021;4;07.04.2021;3;1787;15;4;8;44;0;none;344;10.07.1903;01.01.1900;29.03.2021;26.03.2021;25.03.2021;none;none;1;14;nein
25559;18.05.2021;18.05.2021;24.05.2021;6;19.05.2021;3;1787;15;8;8;44;1;25528;344;04.05.1926;1;18.05.2021;18.05.2021;none;none;none;2;1;nein
29209;10.08.2021;23.08.2021;04.10.2021;2;23.08.2021;3;1787;15;4;4;44;0;none;344;15.05.1927;1;23.08.2021;19.08.2021;none;none;none;1;13;nein
30836;16.09.2021;23.09.2021;04.10.2021;2;27.09.2021;3;1787;15;4;4;44;1;29209;344;15.05.1927;1;23.09.2021;23.09.2021;none;none;none;1;11;nein
32794;25.10.2021;27.10.2021;16.11.2021;2;05.11.2021;3;1787;15;4;4;44;0;29209;344;15.05.1927;1;27.10.2021;26.10.2021;none;none;none;1;11;nein
32802;25.10.2021;17.11.2021;16.11.2021;2;29.11.2021;3;1787;15;4;4;44;0;32794;344;18.06.2318;1;17.11.2021;05.11.2021;none;none;none;1;35;ja
36047;14.01.2022;19.01.2022;21.01.2022;2;19.01.2022;3;1787;15;4;4;44;0;none;344;03.01.1901;1;19.01.2022;18.01.2022;none;none;none;1;5;nein
36622;27.01.2022;01.02.2022;02.02.2022;2;03.02.2022;3;1787;15;4;4;44;1;36543;344;01.05.1902;1;01.02.2022;31.01.2022;none;none;none;1;7;ja
36943;04.02.2022;16.02.2022;10.02.2022;2;17.02.2022;3;none;15;4;4;44;0;none;344;27.09.1937;1;16.02.2022;10.02.2022;none;none;none;1;13;ja
36951;04.02.2022;16.02.2022;10.02.2022;2;21.02.2022;3;none;15;4;4;44;0;none;344;27.09.1937;1;16.02.2022;10.02.2022;none;none;none;1;17;ja
39079;24.03.2022;25.03.2022;30.03.2022;2;05.04.2022;3;1787;15;4;4;44;0;none;344;15.05.1927;1;25.03.2022;24.03.2022;none;none;none;1;12;ja
46714;30.09.2022;06.10.2022;11.10.2022;2;06.10.2022;3;none;15;4;4;44;0;none;344;11.06.1901;1;06.10.2022;30.09.2022;none;none;none;1;6;nein
47289;13.10.2022;17.10.2022;03.11.2022;2;21.10.2022;3;none;15;4;4;44;1;46714;344;11.06.1901;1;17.10.2022;17.10.2022;none;none;none;1;8;nein
56210;03.05.2023;05.05.2023;25.05.2023;3;08.05.2023;3;1789;15;8;4;44;0;none;344;10.12.1984;1;05.05.2023;05.05.2023;none;none;none;1;5;nein
56212;03.05.2023;11.05.2023;25.05.2023;3;16.05.2023;3;1789;15;8;4;44;0;none;344;10.12.1984;1;11.05.2023;09.05.2023;none;none;none;1;13;nein
56209;03.05.2023;11.05.2023;25.05.2023;3;16.05.2023;3;1789;15;8;4;44;0;none;344;10.12.1984;1;11.05.2023;09.05.2023;none;none;none;1;13;nein
60336;27.07.2023;09.08.2023;18.08.2023;2;11.08.2023;3;1789;15;4;4;44;0;none;344;26.12.1901;02.01.1900;09.08.2023;08.08.2023;01.08.2023;none;none;1;15;nein
60342;27.07.2023;09.08.2023;18.08.2023;2;11.08.2023;3;1789;15;4;4;44;0;none;344;26.12.1901;02.01.1900;09.08.2023;08.08.2023;01.08.2023;none;none;1;15;nein
75532;12.06.2024;24.06.2024;04.07.2024;2;02.07.2024;3;1787;15;4;4;44;0;none;344;29.10.1915;1;02.07.2024;20.06.2024;none;28.06.2024;none;1;20;nein
75530;12.06.2024;24.06.2024;04.07.2024;2;05.07.2024;3;1787;15;4;4;44;0;none;344;29.10.1915;1;04.07.2024;20.06.2024;none;03.07.2024;none;1;23;ja
78486;06.08.2024;08.08.2024;28.08.2024;2;12.08.2024;3;1787;15;4;4;44;0;none;344;25.10.2387;2;08.08.2024;07.08.2024;none;none;none;1;6;nein
72513;15.04.2024;16.04.2024;08.05.2024;4;17.04.2024;3;1787;15;4;8;41;1;72497;344;25.01.2314;1;17.04.2024;15.04.2024;none;16.04.2024;none;2;2;nein
80697;17.09.2024;27.09.2024;11.10.2024;4;27.09.2024;3;1783;15;4;8;41;0;none;345;03.01.1938;01.01.1900;27.09.2024;27.09.2024;18.09.2024;none;none;1;10;nein
25475;17.05.2021;21.05.2021;21.05.2021;6;21.05.2021;3;none;15;8;8;39;0;none;344;09.02.1912;1;21.05.2021;17.05.2021;none;none;none;2;4;ja
55214;12.04.2023;17.04.2023;04.05.2023;4;24.04.2023;3;1796;15;4;8;39;0;none;344;none;1;17.04.2023;13.04.2023;none;none;none;1;12;nein
65208;16.11.2023;21.11.2023;08.12.2023;2;24.11.2023;3;1796;15;4;4;39;0;none;344;none;01.01.1900;21.11.2023;20.11.2023;17.11.2023;none;none;1;8;nein
65215;16.11.2023;07.12.2023;01.12.2023;2;07.12.2023;3;1796;15;4;4;39;0;none;345;none;1;07.12.2023;04.12.2023;none;none;none;1;21;ja
70469;04.03.2024;06.03.2024;26.03.2024;2;08.03.2024;3;1796;15;4;4;39;0;none;344;none;1;06.03.2024;04.03.2024;none;none;none;1;4;nein
70473;04.03.2024;09.04.2024;26.03.2024;2;09.04.2024;3;1796;15;4;4;39;0;none;345;none;1;09.04.2024;09.04.2024;none;none;none;1;36;ja
79023;15.08.2024;20.08.2024;06.09.2024;2;20.08.2024;3;1796;15;4;4;39;0;none;344;21.02.2313;1;20.08.2024;20.08.2024;none;none;none;1;5;nein
33851;16.11.2021;29.11.2021;23.11.2021;3;06.12.2021;3;none;15;8;4;38;0;none;344;10.04.2322;01.01.1900;29.11.2021;24.11.2021;17.11.2021;none;none;1;20;ja
20509;22.01.2021;04.02.2021;29.01.2021;6;04.02.2021;3;1787;15;8;8;38;1;20505;344;10.08.1901;1;04.02.2021;25.01.2021;none;none;none;1;13;ja
24598;23.04.2021;27.04.2021;03.05.2021;6;29.04.2021;3;349;15;8;8;37;0;none;344;none;1;27.04.2021;26.04.2021;none;none;none;2;6;nein
27159;23.06.2021;28.06.2021;30.06.2021;2;29.06.2021;3;349;15;4;4;37;0;none;344;none;1;28.06.2021;24.06.2021;none;none;none;2;6;nein
29983;30.08.2021;07.09.2021;27.09.2021;6;09.09.2021;3;none;15;8;8;37;1;22560;344;08.02.1928;01.01.1900;07.09.2021;03.09.2021;30.08.2021;none;none;1;10;nein
30787;15.09.2021;21.09.2021;27.09.2021;2;27.09.2021;3;1783;15;4;4;37;0;none;344;26.07.1912;1;21.09.2021;21.09.2021;none;none;none;1;12;ja
37896;28.02.2022;11.03.2022;04.03.2022;2;11.03.2022;3;none;15;4;4;37;0;37894;345;08.04.1903;01.01.1900;11.03.2022;04.03.2022;28.02.2022;none;none;1;11;ja
47378;14.10.2022;25.10.2022;04.11.2022;2;25.10.2022;3;349;15;4;4;37;0;none;344;none;1;25.10.2022;24.10.2022;none;none;none;2;11;nein
57071;22.05.2023;02.06.2023;13.06.2023;6;02.06.2023;3;349;15;8;8;37;0;none;344;none;1;02.06.2023;22.05.2023;none;none;none;2;11;nein
58529;22.06.2023;26.06.2023;14.07.2023;6;26.06.2023;3;349;49;8;8;37;0;none;344;none;1;26.06.2023;23.06.2023;none;none;none;2;4;nein
61714;29.08.2023;06.09.2023;27.09.2023;2;11.09.2023;3;1783;15;4;4;37;0;none;344;13.04.1910;1;06.09.2023;05.09.2023;none;none;none;2;13;nein
61783;30.08.2023;07.09.2023;21.09.2023;6;13.09.2023;3;1783;15;8;8;37;0;none;344;17.10.2318;1;07.09.2023;01.09.2023;none;none;none;1;14;nein
62780;21.09.2023;25.09.2023;13.10.2023;2;26.09.2023;3;1783;15;4;4;37;1;61715;344;13.04.1910;1;25.09.2023;25.09.2023;none;none;none;2;5;nein
63734;16.10.2023;28.11.2023;08.11.2023;6;29.11.2023;3;349;15;8;8;37;0;none;344;none;1;28.11.2023;28.11.2023;none;08.11.2023;none;2;44;ja
71342;20.03.2024;02.04.2024;15.04.2024;2;15.04.2024;3;1783;15;4;4;37;0;none;344;16.08.1959;01.01.1900;04.04.2024;02.04.2024;25.03.2024;none;none;1;26;ja
71352;20.03.2024;02.04.2024;15.04.2024;2;15.04.2024;3;1783;15;4;4;37;0;none;344;16.08.1959;01.01.1900;04.04.2024;02.04.2024;25.03.2024;none;none;1;26;ja
71353;20.03.2024;02.04.2024;15.04.2024;2;15.04.2024;3;1783;15;4;4;37;0;none;344;16.08.1959;01.01.1900;04.04.2024;02.04.2024;25.03.2024;none;none;1;26;ja
71355;20.03.2024;02.04.2024;15.04.2024;2;15.04.2024;3;1783;15;4;4;37;0;none;344;16.08.1959;01.01.1900;04.04.2024;02.04.2024;25.03.2024;none;none;1;26;ja
72353;11.04.2024;15.04.2024;06.05.2024;6;23.04.2024;3;1783;15;8;8;37;0;none;344;03.01.1938;01.01.1900;23.04.2024;12.04.2024;12.04.2024;16.04.2024;none;1;12;nein
72355;11.04.2024;15.04.2024;06.05.2024;6;23.04.2024;3;1783;15;8;8;37;0;none;344;03.01.1938;01.01.1900;23.04.2024;12.04.2024;12.04.2024;16.04.2024;none;1;12;nein
74866;03.06.2024;10.06.2024;25.06.2024;6;11.06.2024;3;1783;15;8;8;37;1;72355;344;03.01.1938;1;10.06.2024;03.06.2024;none;none;none;1;8;nein
77227;15.07.2024;24.07.2024;06.08.2024;6;24.07.2024;3;349;15;8;8;37;0;none;344;none;1;24.07.2024;24.07.2024;none;none;none;2;9;nein
81857;09.10.2024;21.10.2024;04.11.2024;2;23.10.2024;3;1783;15;4;4;37;0;none;344;08.02.1928;1;23.10.2024;21.10.2024;none;17.10.2024;none;1;14;nein
19908;11.01.2021;11.01.2021;15.01.2021;4;11.01.2021;3;none;15;4;8;37;1;11951;344;none;1;11.01.2021;11.01.2021;none;none;none;1;0;nein
20344;19.01.2021;01.02.2021;10.02.2021;3;04.02.2021;3;none;15;8;4;37;0;none;344;22.03.1955;1;01.02.2021;26.01.2021;none;none;none;1;16;nein
21635;15.02.2021;10.03.2021;05.03.2021;2;10.03.2021;3;349;15;4;4;37;0;21484;344;none;1;10.03.2021;23.02.2021;none;none;none;2;23;ja
22379;03.03.2021;15.03.2021;30.03.2021;6;24.03.2021;3;none;49;8;8;37;0;none;344;10.09.1910;1;15.03.2021;08.03.2021;none;none;none;2;21;nein
22560;08.03.2021;23.03.2021;29.03.2021;6;25.03.2021;3;none;15;8;8;37;0;none;344;08.02.1928;01.01.1900;23.03.2021;18.03.2021;08.03.2021;none;none;1;17;nein
22565;08.03.2021;23.03.2021;24.03.2021;6;26.03.2021;3;none;15;8;8;37;0;22560;344;08.02.1928;01.01.1900;23.03.2021;18.03.2021;08.03.2021;none;none;1;18;ja
23308;24.03.2021;25.03.2021;30.03.2021;2;30.03.2021;3;none;15;4;4;37;0;none;344;15.09.1938;1;25.03.2021;24.03.2021;none;none;none;2;6;ja
22569;08.03.2021;22.03.2021;24.03.2021;6;30.03.2021;3;none;15;8;8;37;0;22565;344;08.02.1928;01.01.1900;22.03.2021;18.03.2021;08.03.2021;none;none;1;22;ja
22571;08.03.2021;22.03.2021;24.03.2021;6;30.03.2021;3;none;15;8;8;37;0;22569;344;08.02.1928;01.01.1900;22.03.2021;18.03.2021;08.03.2021;none;none;1;22;ja
23529;29.03.2021;08.04.2021;12.04.2021;2;13.04.2021;3;none;15;4;4;37;0;none;344;13.04.1910;1;08.04.2021;06.04.2021;none;none;none;1;15;ja
24229;15.04.2021;21.04.2021;23.04.2021;2;21.04.2021;3;349;15;4;4;37;0;none;344;none;1;21.04.2021;16.04.2021;none;none;none;2;6;nein
21624;15.02.2021;05.03.2021;10.03.2021;2;05.05.2021;3;349;15;4;4;37;0;none;344;none;1;05.03.2021;04.03.2021;none;none;none;2;79;ja
24795;28.04.2021;07.05.2021;05.05.2021;2;07.05.2021;3;none;15;4;4;37;0;none;344;03.03.1913;1;07.05.2021;29.04.2021;none;none;none;1;9;ja
24792;28.04.2021;07.05.2021;05.05.2021;2;07.05.2021;3;none;15;4;4;37;0;none;344;03.03.1913;1;07.05.2021;29.04.2021;none;none;none;1;9;ja
25609;19.05.2021;03.06.2021;28.05.2021;2;04.06.2021;3;349;15;4;4;37;0;none;344;none;1;03.06.2021;21.05.2021;none;none;none;2;16;ja
28297;20.07.2021;02.08.2021;09.08.2021;2;03.08.2021;3;none;15;4;4;37;0;none;344;29.12.2031;1;02.08.2021;02.08.2021;none;none;none;1;14;nein
28548;26.07.2021;27.07.2021;01.11.2021;3;12.08.2021;3;345;15;8;4;37;1;27513;345;25.03.1901;1;27.07.2021;26.07.2021;none;none;none;1;17;nein
28495;23.07.2021;16.08.2021;23.08.2021;4;16.08.2021;3;none;15;4;8;37;0;none;344;11.05.2115;1;16.08.2021;02.08.2021;none;none;none;1;24;nein
28918;03.08.2021;16.08.2021;16.08.2021;4;16.08.2021;3;1787;15;4;8;37;1;26077;344;21.04.2016;01.01.1900;16.08.2021;10.08.2021;04.08.2021;none;none;1;13;ja
31079;21.09.2021;14.10.2021;15.11.2021;4;14.10.2021;3;1783;15;4;8;37;0;none;344;08.02.1928;1;14.10.2021;05.10.2021;none;none;none;1;23;nein
32846;26.10.2021;02.11.2021;15.11.2021;6;03.11.2021;3;none;15;8;8;37;1;31079;344;08.02.1928;1;02.11.2021;26.10.2021;none;none;none;1;8;nein
33825;15.11.2021;23.11.2021;25.11.2021;6;24.11.2021;3;none;15;8;8;37;1;29983;344;08.02.1928;1;23.11.2021;19.11.2021;none;none;none;1;9;nein
32200;13.10.2021;11.11.2021;25.11.2021;2;01.12.2021;3;349;15;4;4;37;0;none;344;none;1;11.11.2021;26.10.2021;none;none;none;2;49;ja
34779;07.12.2021;21.12.2021;13.12.2021;2;22.12.2021;3;none;49;4;4;37;0;none;344;19.01.1928;1;21.12.2021;08.12.2021;none;none;none;1;15;ja
37572;21.02.2022;04.03.2022;25.02.2022;6;04.03.2022;3;none;15;8;8;37;0;none;344;03.01.1938;1;04.03.2022;22.02.2022;none;none;none;1;11;ja
37894;28.02.2022;04.03.2022;04.03.2022;2;11.03.2022;3;none;15;4;4;37;0;none;345;08.04.1903;01.01.1900;04.03.2022;04.03.2022;28.02.2022;none;none;1;11;ja
38336;08.03.2022;08.03.2022;21.03.2022;2;11.03.2022;3;345;15;4;4;37;1;37894;345;08.04.1903;1;08.03.2022;08.03.2022;none;none;none;1;3;nein
38227;07.03.2022;18.03.2022;11.03.2022;2;30.03.2022;3;1783;15;4;4;37;0;none;344;13.04.1910;1;18.03.2022;15.03.2022;none;none;none;2;23;ja
40927;09.05.2022;12.05.2022;27.05.2022;6;18.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;1;12.05.2022;11.05.2022;none;none;none;1;9;nein
40920;09.05.2022;12.05.2022;27.05.2022;6;18.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;2;12.05.2022;11.05.2022;none;none;none;1;9;nein
40924;09.05.2022;18.05.2022;27.05.2022;6;19.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;2;18.05.2022;17.05.2022;none;none;none;1;10;nein
40928;09.05.2022;18.05.2022;27.05.2022;6;20.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;1;18.05.2022;17.05.2022;none;none;none;1;11;nein
41120;12.05.2022;18.05.2022;20.05.2022;4;23.05.2022;3;none;15;4;8;37;0;none;344;18.01.1911;1;18.05.2022;17.05.2022;none;none;none;1;11;ja
40926;09.05.2022;19.05.2022;27.05.2022;6;25.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;2;19.05.2022;18.05.2022;none;none;none;1;16;nein
40930;09.05.2022;19.05.2022;27.05.2022;6;25.05.2022;3;1783;15;8;8;37;0;none;344;17.10.1912;1;19.05.2022;18.05.2022;none;none;none;1;16;nein
41881;02.06.2022;09.06.2022;08.06.2022;4;09.06.2022;3;none;15;4;8;37;0;none;344;25.11.2015;1;09.06.2022;07.06.2022;none;none;none;1;7;ja
42627;22.06.2022;01.07.2022;15.07.2022;2;08.07.2022;3;349;15;4;4;37;0;none;344;none;01.01.1900;01.07.2022;30.06.2022;24.06.2022;none;none;2;16;nein
42889;29.06.2022;08.07.2022;14.07.2022;4;19.07.2022;3;none;15;4;8;37;0;none;344;13.04.1910;01.01.1900;08.07.2022;08.07.2022;30.06.2022;none;none;1;20;ja
42911;29.06.2022;12.07.2022;14.07.2022;4;19.07.2022;3;none;15;4;8;37;0;none;344;13.04.1910;01.01.1900;12.07.2022;12.07.2022;30.06.2022;08.07.2022;none;1;20;ja
45706;07.09.2022;12.09.2022;28.09.2022;6;14.09.2022;3;none;15;8;8;37;0;none;344;08.02.1928;1;12.09.2022;09.09.2022;none;none;none;1;7;nein
45798;09.09.2022;15.09.2022;30.09.2022;2;19.09.2022;3;349;15;4;4;37;0;none;344;none;1;15.09.2022;13.09.2022;none;none;none;2;10;nein
45708;07.09.2022;12.09.2022;28.09.2022;6;26.09.2022;3;none;15;8;8;37;0;none;344;08.02.1928;1;12.09.2022;09.09.2022;none;none;none;1;19;nein
45904;13.09.2022;27.09.2022;04.10.2022;2;27.09.2022;3;none;15;4;4;37;0;none;344;20.10.1913;1;27.09.2022;27.09.2022;none;none;none;2;14;nein
45797;09.09.2022;12.09.2022;07.10.2022;2;29.09.2022;3;349;15;4;4;37;0;none;344;none;1;12.09.2022;12.09.2022;none;none;none;2;20;nein
