OrderID;OrderDate;StartDate;DesiredDate;Priority;FinishtDate;InitiatingBusinessUnit;InitiatingDepartment;OrderReason;IndustrySegment;Reorder;SupportDepartment;InProcessSince;UsageCategory;ProcessTime;DeliveryPerformance;Backlog
38909;22.03.2022;22.03.2022;28.03.2022;2;23.03.2022;2;343;15;23;0;157;22.03.2022;1;1;0;88
34191;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34192;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34193;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34194;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34195;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34196;23.11.2021;24.11.2021;29.11.2021;3;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
34197;23.11.2021;24.11.2021;29.11.2021;6;24.11.2021;3;none;15;7;1;157;24.11.2021;1;1;0;86
76032;24.06.2024;25.06.2024;16.07.2024;6;25.06.2024;1;345;15;29;1;158;25.06.2024;1;1;0;66
80133;06.09.2024;06.09.2024;30.09.2024;6;07.09.2024;1;340;15;29;1;158;06.09.2024;1;1;0;66
80134;06.09.2024;06.09.2024;30.09.2024;6;07.09.2024;1;340;15;29;1;158;06.09.2024;1;1;0;66
34555;01.12.2021;01.12.2021;21.12.2021;6;02.12.2021;1;338;15;29;1;158;01.12.2021;1;1;0;65
39003;23.03.2022;23.03.2022;29.03.2022;2;24.03.2022;2;none;15;1;0;157;23.03.2022;1;1;0;81
53651;13.03.2023;13.03.2023;04.04.2023;2;14.03.2023;2;343;15;23;0;157;13.03.2023;1;1;0;81
53645;13.03.2023;13.03.2023;04.04.2023;2;14.03.2023;2;306;15;1;0;157;13.03.2023;2;1;0;81
64145;24.10.2023;25.10.2023;16.11.2023;6;25.10.2023;1;338;15;29;1;158;25.10.2023;1;1;0;65
64157;24.10.2023;25.10.2023;16.11.2023;6;25.10.2023;1;338;15;29;1;158;25.10.2023;1;1;0;65
64158;24.10.2023;25.10.2023;16.11.2023;6;25.10.2023;1;338;15;29;1;158;25.10.2023;1;1;0;65
64159;24.10.2023;25.10.2023;16.11.2023;6;25.10.2023;1;338;15;29;1;158;25.10.2023;1;1;0;65
64160;24.10.2023;25.10.2023;16.11.2023;6;25.10.2023;1;338;15;29;1;158;25.10.2023;1;1;0;65
66257;06.12.2023;07.12.2023;21.12.2023;6;07.12.2023;2;343;15;23;0;158;07.12.2023;1;1;0;65
67271;04.01.2024;05.01.2024;26.01.2024;6;05.01.2024;1;345;15;30;1;158;05.01.2024;1;1;0;65
67273;04.01.2024;05.01.2024;26.01.2024;6;05.01.2024;1;345;15;29;1;158;05.01.2024;1;1;0;65
68267;24.01.2024;25.01.2024;15.02.2024;6;25.01.2024;1;345;15;30;1;158;25.01.2024;1;1;0;65
39047;24.03.2022;24.03.2022;30.03.2022;6;25.03.2022;2;343;15;23;0;157;24.03.2022;1;1;0;80
39054;24.03.2022;24.03.2022;30.03.2022;6;25.03.2022;2;343;15;23;0;157;24.03.2022;1;1;0;80
74484;27.05.2024;27.05.2024;04.06.2024;6;28.05.2024;3;1769;15;7;0;157;27.05.2024;1;1;0;80
74457;27.05.2024;27.05.2024;18.06.2024;3;28.05.2024;3;350;15;7;0;157;27.05.2024;2;1;0;80
80107;05.09.2024;06.09.2024;27.09.2024;4;06.09.2024;1;345;15;29;1;158;06.09.2024;1;1;0;65
32852;26.10.2021;26.10.2021;01.11.2021;4;27.10.2021;2;none;15;1;0;157;26.10.2021;1;1;0;78
63953;19.10.2023;20.10.2023;13.11.2023;3;20.10.2023;3;350;49;8;0;157;20.10.2023;3;1;0;76
74573;28.05.2024;29.05.2024;19.06.2024;2;29.05.2024;1;338;15;29;0;157;29.05.2024;1;1;0;76
68929;06.02.2024;07.02.2024;28.02.2024;2;07.02.2024;1;340;15;30;0;158;07.02.2024;1;1;0;64
72426;12.04.2024;12.04.2024;07.05.2024;4;13.04.2024;1;345;15;29;1;158;12.04.2024;1;1;0;64
35390;21.12.2021;22.12.2021;10.01.2022;6;22.12.2021;1;337;15;29;1;158;22.12.2021;1;1;0;63
28271;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
28272;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
28274;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
28267;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
28275;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
28276;20.07.2021;20.07.2021;26.07.2021;6;21.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;74
64114;23.10.2023;24.10.2023;15.11.2023;3;24.10.2023;1;337;15;29;1;158;24.10.2023;1;1;0;63
65026;14.11.2023;14.11.2023;06.12.2023;6;15.11.2023;1;339;15;30;1;158;14.11.2023;1;1;0;63
28118;15.07.2021;16.07.2021;22.07.2021;6;16.07.2021;3;none;15;7;0;157;16.07.2021;1;1;0;72
63726;16.10.2023;16.10.2023;08.11.2023;6;17.10.2023;1;339;15;29;1;157;16.10.2023;1;1;0;72
63717;16.10.2023;16.10.2023;08.11.2023;6;17.10.2023;1;339;15;29;1;157;16.10.2023;1;1;0;72
79696;28.08.2024;29.08.2024;20.09.2024;2;29.08.2024;1;345;15;29;1;158;29.08.2024;2;1;0;63
24770;28.04.2021;29.04.2021;04.05.2021;2;29.04.2021;3;none;15;1;0;157;29.04.2021;1;1;0;71
79690;28.08.2024;29.08.2024;19.09.2024;6;29.08.2024;2;314;15;9;0;158;29.08.2024;1;1;0;63
27740;07.07.2021;07.07.2021;05.08.2021;6;08.07.2021;1;340;15;29;1;157;07.07.2021;1;1;0;71
28363;21.07.2021;22.07.2021;28.07.2021;6;22.07.2021;3;none;15;7;0;157;22.07.2021;1;1;0;71
75419;11.06.2024;11.06.2024;03.07.2024;4;12.06.2024;3;1779;49;46;1;157;11.06.2024;2;1;0;71
31763;04.10.2021;05.10.2021;22.10.2021;6;05.10.2021;1;338;15;30;1;158;05.10.2021;1;1;0;61
24219;15.04.2021;15.04.2021;22.04.2021;2;16.04.2021;3;none;15;1;1;157;15.04.2021;2;1;0;69
33954;17.11.2021;18.11.2021;30.11.2021;6;18.11.2021;2;345;15;23;1;158;18.11.2021;1;1;0;61
33956;17.11.2021;18.11.2021;30.11.2021;6;18.11.2021;2;345;15;23;1;158;18.11.2021;1;1;0;61
33957;17.11.2021;18.11.2021;30.11.2021;6;18.11.2021;2;345;15;23;1;158;18.11.2021;1;1;0;61
33958;17.11.2021;18.11.2021;01.12.2021;6;18.11.2021;2;345;15;23;1;158;18.11.2021;1;1;0;61
28230;19.07.2021;20.07.2021;26.07.2021;6;20.07.2021;3;none;15;7;0;157;20.07.2021;1;1;0;68
64956;13.11.2023;13.11.2023;05.12.2023;2;14.11.2023;1;339;15;29;1;158;13.11.2023;1;1;0;61
27796;08.07.2021;08.07.2021;14.07.2021;3;09.07.2021;3;none;15;7;0;157;08.07.2021;1;1;0;67
27797;08.07.2021;08.07.2021;14.07.2021;3;09.07.2021;3;none;15;7;0;157;08.07.2021;1;1;0;67
27807;08.07.2021;08.07.2021;16.07.2021;3;09.07.2021;3;none;15;7;0;157;08.07.2021;1;1;0;67
28014;13.07.2021;14.07.2021;20.07.2021;3;14.07.2021;3;none;15;7;0;157;14.07.2021;1;1;0;67
28015;13.07.2021;14.07.2021;20.07.2021;3;14.07.2021;3;none;15;7;0;157;14.07.2021;1;1;0;67
28016;13.07.2021;14.07.2021;20.07.2021;3;14.07.2021;3;none;15;7;0;157;14.07.2021;1;1;0;67
27953;12.07.2021;13.07.2021;16.07.2021;3;13.07.2021;3;none;15;7;0;157;13.07.2021;1;1;0;66
27954;12.07.2021;13.07.2021;16.07.2021;3;13.07.2021;3;none;15;7;0;157;13.07.2021;1;1;0;66
27955;12.07.2021;13.07.2021;16.07.2021;3;13.07.2021;3;none;15;7;0;157;13.07.2021;1;1;0;66
27956;12.07.2021;13.07.2021;16.07.2021;3;13.07.2021;3;none;15;7;0;157;13.07.2021;1;1;0;66
28072;14.07.2021;15.07.2021;20.07.2021;6;15.07.2021;3;none;15;7;0;157;15.07.2021;1;1;0;66
28057;14.07.2021;15.07.2021;20.07.2021;6;15.07.2021;3;none;15;7;0;157;15.07.2021;1;1;0;66
64478;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
64479;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
28058;14.07.2021;15.07.2021;20.07.2021;3;15.07.2021;3;none;15;7;0;157;15.07.2021;1;1;0;66
64480;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
64482;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
64483;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
64485;02.11.2023;03.11.2023;24.11.2023;2;03.11.2023;1;345;15;29;1;158;03.11.2023;1;1;0;60
28680;29.07.2021;30.07.2021;13.08.2021;3;30.07.2021;3;none;15;7;0;157;30.07.2021;1;1;0;66
28684;29.07.2021;30.07.2021;13.08.2021;3;30.07.2021;3;none;15;7;0;157;30.07.2021;1;1;0;66
28674;29.07.2021;30.07.2021;06.08.2021;3;30.07.2021;3;none;15;7;0;157;30.07.2021;1;1;0;66
28677;29.07.2021;30.07.2021;04.08.2021;3;30.07.2021;3;none;15;7;0;157;30.07.2021;1;1;0;66
28685;29.07.2021;30.07.2021;13.08.2021;3;30.07.2021;3;none;15;7;0;157;30.07.2021;1;1;0;66
65969;30.11.2023;01.12.2023;22.12.2023;4;01.12.2023;1;385;15;29;1;158;01.12.2023;1;1;0;60
69340;13.02.2024;13.02.2024;28.02.2024;3;14.02.2024;3;1791;15;11;1;158;13.02.2024;1;1;0;60
80482;12.09.2024;12.09.2024;08.10.2024;6;13.09.2024;1;338;15;29;1;158;12.09.2024;1;1;0;60
80710;17.09.2024;17.09.2024;11.10.2024;2;18.09.2024;3;1786;15;12;1;158;17.09.2024;1;1;0;60
59284;06.07.2023;07.07.2023;28.07.2023;4;07.07.2023;1;345;15;29;1;158;07.07.2023;1;1;0;59
59286;06.07.2023;07.07.2023;28.07.2023;4;07.07.2023;1;345;15;29;1;158;07.07.2023;1;1;0;59
25559;18.05.2021;18.05.2021;24.05.2021;6;19.05.2021;3;1787;15;44;1;157;18.05.2021;2;1;0;65
70192;27.02.2024;28.02.2024;20.03.2024;3;28.02.2024;1;338;15;29;1;158;28.02.2024;1;1;0;59
78990;14.08.2024;15.08.2024;20.09.2024;3;15.08.2024;2;342;15;24;1;157;15.08.2024;1;1;0;65
25938;27.05.2021;28.05.2021;17.06.2021;4;28.05.2021;1;338;15;29;1;158;28.05.2021;1;1;0;58
35814;10.01.2022;11.01.2022;21.01.2022;6;11.01.2022;2;none;15;9;1;158;11.01.2022;1;1;0;58
36036;14.01.2022;14.01.2022;03.02.2022;4;15.01.2022;1;337;15;29;1;158;14.01.2022;1;1;0;58
25076;05.05.2021;06.05.2021;17.06.2021;4;06.05.2021;3;1771;15;8;0;157;06.05.2021;1;1;0;63
36035;14.01.2022;14.01.2022;03.02.2022;4;15.01.2022;1;337;15;29;1;158;14.01.2022;1;1;0;58
58929;29.06.2023;30.06.2023;21.07.2023;6;30.06.2023;1;385;15;29;1;158;30.06.2023;1;1;0;58
72613;17.04.2024;18.04.2024;14.05.2024;6;18.04.2024;1;345;15;29;1;158;18.04.2024;1;1;0;58
72615;17.04.2024;17.04.2024;14.05.2024;6;18.04.2024;1;345;15;29;1;158;17.04.2024;1;1;0;58
31013;20.09.2021;20.09.2021;06.10.2021;4;21.09.2021;2;343;15;23;1;157;20.09.2021;1;1;0;63
31043;20.09.2021;21.09.2021;24.09.2021;3;21.09.2021;3;none;15;7;0;157;21.09.2021;1;1;0;63
31041;20.09.2021;21.09.2021;24.09.2021;3;21.09.2021;3;none;15;7;0;157;21.09.2021;1;1;0;63
31040;20.09.2021;21.09.2021;24.09.2021;3;21.09.2021;3;none;15;7;0;157;21.09.2021;1;1;0;63
31038;20.09.2021;21.09.2021;24.09.2021;3;21.09.2021;3;none;15;7;0;157;21.09.2021;1;1;0;63
31044;20.09.2021;21.09.2021;24.09.2021;3;21.09.2021;3;none;15;7;0;157;21.09.2021;1;1;0;63
59646;13.07.2023;14.07.2023;04.08.2023;2;14.07.2023;1;337;59;30;1;157;14.07.2023;1;1;0;63
59603;13.07.2023;14.07.2023;11.08.2023;6;14.07.2023;2;344;15;24;1;157;14.07.2023;1;1;0;63
62519;18.09.2023;19.09.2023;03.10.2023;2;19.09.2023;2;345;15;9;1;158;19.09.2023;1;1;0;57
69703;20.02.2024;21.02.2024;13.03.2024;6;21.02.2024;1;337;15;29;1;158;21.02.2024;1;1;0;57
62404;14.09.2023;14.09.2023;06.10.2023;2;15.09.2023;1;338;15;29;0;157;14.09.2023;1;1;0;62
62994;27.09.2023;27.09.2023;19.10.2023;2;28.09.2023;1;339;15;29;0;157;27.09.2023;1;1;0;62
26512;09.06.2021;10.06.2021;15.06.2021;2;10.06.2021;2;346;15;23;1;157;10.06.2021;1;1;0;61
59972;20.07.2023;21.07.2023;11.08.2023;6;21.07.2023;3;350;15;7;0;157;21.07.2023;1;1;0;61
48662;16.11.2022;17.11.2022;08.12.2022;6;17.11.2022;1;337;15;29;1;158;17.11.2022;1;1;0;56
25467;17.05.2021;17.05.2021;21.05.2021;6;18.05.2021;3;none;15;18;1;157;17.05.2021;1;1;0;60
29138;09.08.2021;09.08.2021;13.08.2021;3;10.08.2021;3;none;15;7;0;157;09.08.2021;1;1;0;60
62576;19.09.2023;19.09.2023;11.10.2023;2;20.09.2023;1;338;15;29;1;158;19.09.2023;1;1;0;56
62577;19.09.2023;19.09.2023;11.10.2023;2;20.09.2023;1;338;15;29;1;158;19.09.2023;1;1;0;56
29213;10.08.2021;10.08.2021;16.08.2021;3;11.08.2021;3;none;15;7;0;157;10.08.2021;1;1;0;59
29216;10.08.2021;10.08.2021;16.08.2021;3;11.08.2021;3;none;15;7;0;157;10.08.2021;1;1;0;59
29215;10.08.2021;10.08.2021;16.08.2021;3;11.08.2021;3;none;15;7;0;157;10.08.2021;1;1;0;59
29192;10.08.2021;10.08.2021;16.08.2021;3;11.08.2021;3;none;15;7;0;157;10.08.2021;1;1;0;59
29239;10.08.2021;11.08.2021;17.08.2021;3;11.08.2021;3;none;15;7;0;157;11.08.2021;1;1;0;59
29219;10.08.2021;11.08.2021;16.08.2021;3;11.08.2021;3;none;15;7;0;157;11.08.2021;1;1;0;59
29315;12.08.2021;12.08.2021;18.08.2021;3;13.08.2021;3;none;15;7;0;157;12.08.2021;1;1;0;59
29432;16.08.2021;17.08.2021;23.08.2021;3;17.08.2021;3;none;15;7;0;157;17.08.2021;1;1;0;59
29431;16.08.2021;17.08.2021;23.08.2021;3;17.08.2021;3;none;15;7;0;157;17.08.2021;1;1;0;59
29428;16.08.2021;17.08.2021;23.08.2021;3;17.08.2021;3;none;15;7;0;157;17.08.2021;1;1;0;59
29429;16.08.2021;17.08.2021;23.08.2021;3;17.08.2021;3;none;15;7;0;157;17.08.2021;1;1;0;59
29430;16.08.2021;17.08.2021;23.08.2021;3;17.08.2021;3;none;15;7;0;157;17.08.2021;1;1;0;59
29893;26.08.2021;26.08.2021;01.09.2021;3;27.08.2021;3;none;15;7;0;157;26.08.2021;1;1;0;59
29889;26.08.2021;26.08.2021;01.09.2021;3;27.08.2021;3;none;15;7;0;157;26.08.2021;1;1;0;59
29894;26.08.2021;26.08.2021;01.09.2021;3;27.08.2021;3;none;15;7;0;157;26.08.2021;1;1;0;59
69620;19.02.2024;19.02.2024;12.03.2024;2;20.02.2024;1;345;15;29;1;158;19.02.2024;1;1;0;55
29895;26.08.2021;26.08.2021;01.09.2021;3;27.08.2021;3;none;15;7;0;157;26.08.2021;1;1;0;59
62581;19.09.2023;20.09.2023;11.10.2023;6;20.09.2023;3;350;15;7;0;157;20.09.2023;1;1;0;59
72856;22.04.2024;23.04.2024;17.05.2024;6;23.04.2024;1;338;15;29;0;158;23.04.2024;1;1;0;54
31487;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31492;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31489;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31481;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31483;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31491;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31478;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31477;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31485;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31482;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31480;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31486;28.09.2021;29.09.2021;18.11.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31493;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31488;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31476;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31475;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
31484;28.09.2021;29.09.2021;04.10.2021;3;29.09.2021;3;none;15;7;0;157;29.09.2021;1;1;0;58
58465;21.06.2023;22.06.2023;13.07.2023;2;22.06.2023;1;340;15;29;1;157;22.06.2023;1;1;0;58
26833;16.06.2021;17.06.2021;07.07.2021;4;17.06.2021;1;345;15;29;1;158;17.06.2021;1;1;0;52
26834;16.06.2021;17.06.2021;07.07.2021;4;17.06.2021;1;345;15;29;1;158;17.06.2021;1;1;0;52
58466;21.06.2023;22.06.2023;13.07.2023;4;22.06.2023;1;340;15;29;1;157;22.06.2023;1;1;0;58
28145;15.07.2021;16.07.2021;05.08.2021;3;16.07.2021;1;345;15;30;1;158;16.07.2021;1;1;0;52
28146;15.07.2021;16.07.2021;05.08.2021;3;16.07.2021;1;345;15;30;1;158;16.07.2021;1;1;0;52
28139;15.07.2021;16.07.2021;05.08.2021;6;16.07.2021;1;345;15;29;1;158;16.07.2021;2;1;0;52
28140;15.07.2021;16.07.2021;05.08.2021;6;16.07.2021;1;345;15;29;1;158;16.07.2021;2;1;0;52
67703;15.01.2024;16.01.2024;06.02.2024;2;16.01.2024;2;314;15;9;0;157;16.01.2024;1;1;0;58
28806;02.08.2021;03.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;03.08.2021;1;1;0;57
28805;02.08.2021;03.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;03.08.2021;1;1;0;57
28800;02.08.2021;03.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;03.08.2021;1;1;0;57
28799;02.08.2021;03.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;03.08.2021;1;1;0;57
28804;02.08.2021;02.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;02.08.2021;1;1;0;57
28825;02.08.2021;02.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;02.08.2021;1;1;0;57
28801;02.08.2021;02.08.2021;06.08.2021;3;03.08.2021;3;none;15;7;0;157;02.08.2021;1;1;0;57
47722;25.10.2022;26.10.2022;11.12.2022;6;26.10.2022;1;none;15;30;1;158;26.10.2022;1;1;0;52
